sentence_nb,model,clean_dataset,pred,vocab,acc,execution_time
10,1-gram,False,decades decades and decades,196,0.25,0.05126841604942456
10,1-gram,True,decades decades and decades,179,0.25,0.031561165989842266
10,2-gram,False,of of and decades,196,0.25,0.016797541989944875
10,2-gram,True,of of and decades,179,0.25,0.015167917008511722
20,1-gram,False,"decades the termed libertarian has be labelled synonym with and it meet has movement revolutionaries did with with decades from ideological did decades in bodies, the decades decades and libertarian Marxism which down notably as the with authority socialism. or decades decades part and decades current libertarian which are prefigure communalism with decades libertarian decades socialism. and use libertarian socialism. to decades and next communalism and emancipation. it communalism with socialism. Anarchism is bring use to decades the and with of the socialism. movement Anarchism is communalism to socialism. for which are state, or from abolition decades of and generation history, and socialism. criticism, and criticism, decades decades criticism, did be the two, Some scepticism decades and as has marking in from libertarian and be bodies, libertarian and socialism. but movement socialism. which movement scepticism revolutionaries and as decades mid-19th of and prefigure decades opponents to the state, is century, to and the decades and is notably and early tactics for scepticism as the is decades long of did decades scepticism and and on the marking and decades current period. and decades did Marxism decades decades in the with for decades notably socialism. the revolutionaries of the state, appears the be the human decades all human to decades in or prefigure to such decades notably socialism. and decades such on holds to accused to decades the ideological of and",303,0.32751091703056767,4.680954749986995
20,1-gram,True,which the termed libertarian has be labelled synonym with and it meet has movement revolutionary did with with decades from ideological did greek in bodies the next leader and libertarian many which down notably as the with authority society or decades various part and decades current libertarian which are prefigure communalism with civil libertarian decades society and use libertarian society to decades and next communalism and empires it communalism with society and is bring use to decades the and with of the society movement and is communalism to society for which are state or from abolition scepticism of and generation history and society criticism and criticism decades decades criticism did be the two society scepticism decades and as has many in from libertarian and be bodies libertarian and society but movement society which movement scepticism revolutionary and as decades mid19th of and prefigure which opponents to the state is century to and the decades and is notably and early tactics for scepticism as the is decades long of did decades scepticism and and on the many and various current period and decades did many decades decades in the with for decades notably society the revolutionary of the state appears the be the human decades although human to decades in or prefigure to such decades notably society and decades such on holds to accused to decades the ideological of and,272,0.34934497816593885,4.03261570900213
20,2-gram,False,"of themselves terminology, libertarian half before labelled synonym without and its meaning half modern realms, did without without of free-market ideal did of in bodies, themselves of of and libertarian Many what down not as themselves without authority society. or of of parts and of current libertarian what areas prefigure common without of libertarian of society. and usages libertarian society. toward of and next common and emphasised its common without society. Anarchism is broadly usages toward described themselves and without of themselves society. modern Anarchism is common toward society. for what areas struggles or free-market abolition of of and generation historical and society. criticism, and criticism, of of criticism, did before themselves two, Some scepticism described and as half marking in free-market libertarian and before bodies, libertarian and society. but modern society. what modern scepticism realms, and as of mid-19th of and prefigure of opponents toward themselves struggles is century, toward and themselves described and is not and early taken for scepticism as themselves is of long of did of scepticism and and on themselves marking and of current period. and of did Many described of in themselves without for of not society. themselves realms, of themselves struggles appears themselves before themselves human of although human toward of in or prefigure toward such of not society. and of such on holds toward accused toward of themselves ideal of and",303,0.21397379912663755,2.1027905420050956
20,2-gram,True,what the terminology libertarian half before labelled synonym with and its meaning half modern revolutions did with with of freemarket ideal did greek in bodies the next leftwing and libertarian many what down not as the with authority society or of various parts and of current libertarian what areas proudhon common with civil libertarian of society and usages libertarian society toward of and next common and emphasised its common with society and is broadly usages toward described the and with of the society modern and is common toward society for what areas struggles or freemarket abolition scepticism of and generation historical and society criticism and criticism of of criticism did before the two society scepticism described and as half many in freemarket libertarian and before bodies libertarian and society but modern society what modern scepticism revolutions and as of mid19th of and proudhon what opponents toward the struggles is century toward and the described and is not and early tactics for scepticism as the is of long of did of scepticism and and on the many and various current period and of did many described of in the with for of not society the revolutions of the struggles appears the before the humans of all humans toward of in or proudhon toward such of not society and of such on holds toward accused toward of the ideal of and,272,0.29694323144104806,1.814068874984514
40,1-gram,False,"In meaning cities, the was not and act extreme socialist as resurgent most The and cities, cities, most later cities, birth to resurgent and In the cities, cities, Marxism calls for and cities, socialist and the above. of most on to been socialist extreme by cities, cities, cities, In cities, resurgent set precursors cities, the state In cities, vanguard set decades and and libertarian termed Revolution in in and during the Revolution and in precursors cities, during the Revolution resurgent elements of and set part in French English cities, to in authority cities, and resurgent and the resurgent of the cities, and 1890s also spectrum, the ideal decades of which been the era of classical and cities, era During the French Revolution part groups, such as the English and the said cities, turn political in the few of and and few set The first and cultural decades the the 1890s century, as William Godwin establishment philosophers and in English most decades the state Marxism States. the part the was to in and Pierre-Joseph Pre-modern the of cities, for few socialist in French cities, the later 1890s vanguard and scholars of the has been were and cities, was of the undesirable, cities, cities, from 1890s to 19th The era of classical and later undesirable, the end of the Spanish Civil War and is conflict the cities, cities, of and cities, from cities, cities, cities, for conflict and and end the In cities, As cities, classical would undesirable, later cities, as the cities, In the for in 1890s to undesirable, discussion resurgent cultural The In been cities, significant political for with cities, Marxism been cities, left first and cities, meaning of its cities, Commune, cities, factions (the cities, cities, and Pre-modern for (the cities, opposition state socialist adoption political above. and cities, precursors how cities, birth discussion the cities, were extreme from the In by the Marxism at the 1890s cities, Commune, Anarchism were traces significant in the cities, In been cities, extreme in 1890s cities, factions precursors the cities, resurgent cities, political by Marxism termed the would end cities, the negative cities, of would In resurgent to the extreme from the cities, In and for the States. cities, In United the in of cities, cities, cities, Russian philosophers and scholars and overlap with conflict Anarchism which cities, in from the 1890s Paris Commune, adoption for from few and for the discussion of cities, act to on negative",485,0.3645320197044335,20.487932415970135
40,1-gram,True,in meaning end the was not and act exist society as revolutionary movement the and end end movement laozi end birth to revolutionary and in the said employs many calls for and end society and the abolition of movement on to been society exist by employs end end in based revolutionary set precursors end the state in end various set decades and and libertarian termed revolutionary in in and during the revolutionary and in precursors end during the revolutionary revolutionary elements of and set part in from end china to in authority set and revolutionary and the revolutionary of the 1756–1836 and 1890s also spanish the ideal decades of while been the era of classical and movement era during the from revolutionary part greece such as the end and the said end turn political in the few of and and few set the first and cultural decades the the 1890s century as with godwin establishment philosophers and in end movement decades the state many state the part the was to in and pierrejoseph precursors the of end for few society in from by the laozi 1890s various and scholars of the has been were and end was of the unnecessary end end from 1890s to 19th the era of classical and laozi unnecessary the end of the spanish civil was and is conflict the godwin end of and end from end misunderstanding based for conflict and and end the in would as end classical would unnecessary laozi end as the first in the for in 1890s to unnecessary discussion revolutionary cultural the in been end significant political for with end many been end left first and end meaning of its generation conflict based factions the end few and precursors for the end opposition state society adoption political abolition and end precursors how after birth discussion the based were exist from the in by the many at the 1890s has conflict and were traces significant in the set in been end exist in 1890s based factions precursors the end revolutionary end political by many termed the would end end the negative end of would in revolutionary to the exist from the first in and for the state end in unnecessary the in of perceive end end ruler philosophers and scholars and overlap with conflict and while end in from the 1890s part conflict adoption for from few and for the discussion of godwin act to on negative,427,0.37438423645320196,16.864049165975302
